,lat,lon,t
88,40.418710000000004,-86.91031833333332,2024-03-31 00:09:41
89,40.41872166666666,-86.91031833333332,2024-03-31 00:09:42
90,40.41872166666666,-86.91031833333332,2024-03-31 00:09:43
91,40.418725,-86.91033499999999,2024-03-31 00:09:44
92,40.418730000000004,-86.91033499999999,2024-03-31 00:09:45
93,40.418753333333335,-86.91035166666667,2024-03-31 00:09:46
94,40.41876666666667,-86.91036833333334,2024-03-31 00:09:47
95,40.41877833333333,-86.91038333333333,2024-03-31 00:09:48
96,40.41878666666667,-86.9104,2024-03-31 00:09:49
97,40.418815,-86.91041666666666,2024-03-31 00:09:51
98,40.418826666666675,-86.91041666666666,2024-03-31 00:09:52
99,40.418839999999996,-86.91043333333334,2024-03-31 00:09:53
100,40.41884833333333,-86.91043333333334,2024-03-31 00:09:54
101,40.41886,-86.91043333333334,2024-03-31 00:09:55
102,40.41888,-86.91045000000001,2024-03-31 00:09:56
103,40.418888333333335,-86.91045000000001,2024-03-31 00:09:57
104,40.418904999999995,-86.91045000000001,2024-03-31 00:09:58
105,40.41891666666667,-86.910465,2024-03-31 00:09:59
106,40.418924999999994,-86.910465,2024-03-31 00:10:00
107,40.41894166666667,-86.910465,2024-03-31 00:10:01
108,40.41895333333334,-86.910465,2024-03-31 00:10:02
109,40.418965,-86.910465,2024-03-31 00:10:03
110,40.41898666666667,-86.910465,2024-03-31 00:10:04
111,40.418998333333334,-86.91048166666667,2024-03-31 00:10:05
112,40.41901000000001,-86.91048166666667,2024-03-31 00:10:06
113,40.41902666666667,-86.91049833333334,2024-03-31 00:10:07
114,40.41903833333334,-86.91051500000002,2024-03-31 00:10:08
115,40.419055,-86.91049833333334,2024-03-31 00:10:09
116,40.41907166666667,-86.91049833333334,2024-03-31 00:10:10
117,40.41909166666667,-86.91051500000002,2024-03-31 00:10:11
118,40.41910333333334,-86.91051500000002,2024-03-31 00:10:12
119,40.41912,-86.91051500000002,2024-03-31 00:10:13
120,40.41912833333333,-86.91052999999998,2024-03-31 00:10:14
121,40.41914500000001,-86.91052999999998,2024-03-31 00:10:15
122,40.419156666666666,-86.91052999999998,2024-03-31 00:10:16
123,40.419153333333334,-86.91052999999998,2024-03-31 00:10:17
124,40.419136666666674,-86.91051500000002,2024-03-31 00:10:18
125,40.419136666666674,-86.91051500000002,2024-03-31 00:10:19
126,40.41914500000001,-86.91052999999998,2024-03-31 00:10:21
127,40.419156666666666,-86.91056333333331,2024-03-31 00:10:22
128,40.41916499999999,-86.910595,2024-03-31 00:10:23
129,40.41918166666667,-86.91061166666665,2024-03-31 00:10:24
130,40.419198333333334,-86.91064499999999,2024-03-31 00:10:25
131,40.419205,-86.91066000000001,2024-03-31 00:10:26
132,40.41921,-86.91069333333334,2024-03-31 00:10:27
133,40.419230000000006,-86.91066000000001,2024-03-31 00:10:28
134,40.419246666666666,-86.91064499999999,2024-03-31 00:10:29
135,40.419255,-86.91066000000001,2024-03-31 00:10:30
136,40.419258333333325,-86.91067666666667,2024-03-31 00:10:31
137,40.41926333333334,-86.91069333333334,2024-03-31 00:10:32
138,40.41926333333334,-86.91069333333334,2024-03-31 00:10:33
139,40.419258333333325,-86.91072666666666,2024-03-31 00:10:34
140,40.419266666666665,-86.91074166666668,2024-03-31 00:10:36
141,40.419275,-86.91075833333335,2024-03-31 00:10:37
142,40.41928333333333,-86.91077500000002,2024-03-31 00:10:38
143,40.419295000000005,-86.91079166666664,2024-03-31 00:10:39
144,40.41930333333333,-86.91080666666667,2024-03-31 00:10:40
145,40.419320000000006,-86.91084,2024-03-31 00:10:41
146,40.419320000000006,-86.91085666666667,2024-03-31 00:10:42
147,40.41932833333334,-86.91087166666665,2024-03-31 00:10:43
148,40.419336666666666,-86.91088833333333,2024-03-31 00:10:44
149,40.419336666666666,-86.910905,2024-03-31 00:10:45
150,40.41934833333334,-86.91092166666667,2024-03-31 00:10:46
151,40.41934833333334,-86.91095333333332,2024-03-31 00:10:47
152,40.419351666666664,-86.91097,2024-03-31 00:10:48
153,40.41936,-86.91098666666667,2024-03-31 00:10:49
154,40.41937333333333,-86.91100333333334,2024-03-31 00:10:50
155,40.41937666666667,-86.911035,2024-03-31 00:10:51
156,40.41937666666667,-86.91105166666665,2024-03-31 00:10:52
157,40.41937333333333,-86.91108333333335,2024-03-31 00:10:53
158,40.41936833333333,-86.91113333333332,2024-03-31 00:10:54
159,40.41936,-86.91116500000001,2024-03-31 00:10:55
160,40.41934333333334,-86.91119833333333,2024-03-31 00:10:56
161,40.41932833333334,-86.911215,2024-03-31 00:10:57
162,40.419311666666665,-86.91123,2024-03-31 00:10:58
163,40.419295000000005,-86.91123,2024-03-31 00:10:59
164,40.41927833333334,-86.91124666666668,2024-03-31 00:11:00
165,40.419266666666665,-86.91126333333335,2024-03-31 00:11:01
166,40.419246666666666,-86.91126333333335,2024-03-31 00:11:02
167,40.41923500000001,-86.91126333333335,2024-03-31 00:11:03
168,40.41922166666667,-86.91126333333335,2024-03-31 00:11:04
169,40.41921,-86.91126333333335,2024-03-31 00:11:05
170,40.41920166666666,-86.91124666666668,2024-03-31 00:11:06
171,40.41919,-86.91124666666668,2024-03-31 00:11:07
172,40.41918166666667,-86.91124666666668,2024-03-31 00:11:08
173,40.41916833333333,-86.91124666666668,2024-03-31 00:11:09
174,40.419156666666666,-86.91124666666668,2024-03-31 00:11:10
175,40.41914500000001,-86.91124666666668,2024-03-31 00:11:11
176,40.419136666666674,-86.91124666666668,2024-03-31 00:11:12
177,40.419125,-86.91124666666668,2024-03-31 00:11:13
178,40.41910833333333,-86.91123,2024-03-31 00:11:14
179,40.41909166666667,-86.911215,2024-03-31 00:11:15
180,40.41908333333333,-86.91123,2024-03-31 00:11:16
181,40.41908000000001,-86.91123,2024-03-31 00:11:17
182,40.41908000000001,-86.91123,2024-03-31 00:11:18
183,40.41907499999999,-86.91123,2024-03-31 00:11:20
184,40.41907166666667,-86.911215,2024-03-31 00:11:21
185,40.419063333333334,-86.91118166666665,2024-03-31 00:11:22
186,40.419046666666674,-86.91114833333333,2024-03-31 00:11:23
187,40.41903833333334,-86.91109999999998,2024-03-31 00:11:24
188,40.41902333333333,-86.91108333333335,2024-03-31 00:11:25
189,40.418998333333334,-86.91106833333332,2024-03-31 00:11:26
190,40.418978333333335,-86.91101833333333,2024-03-31 00:11:27
191,40.41895333333334,-86.91098666666667,2024-03-31 00:11:28
192,40.41893666666667,-86.91095333333332,2024-03-31 00:11:29
193,40.41891666666667,-86.91092166666667,2024-03-31 00:11:30
194,40.418908333333334,-86.910905,2024-03-31 00:11:31
195,40.418896666666676,-86.910905,2024-03-31 00:11:32
196,40.418885,-86.91088833333333,2024-03-31 00:11:33
197,40.41886,-86.91087166666665,2024-03-31 00:11:35
198,40.418843333333335,-86.91085666666667,2024-03-31 00:11:36
199,40.41883166666666,-86.91085666666667,2024-03-31 00:11:37
200,40.418815,-86.91084,2024-03-31 00:11:38
201,40.41880666666666,-86.91084,2024-03-31 00:11:39
202,40.418795,-86.91082333333333,2024-03-31 00:11:40
203,40.41878333333333,-86.91080666666667,2024-03-31 00:11:41
204,40.41877000000001,-86.91080666666667,2024-03-31 00:11:42
205,40.41875833333334,-86.91079166666664,2024-03-31 00:11:43
206,40.41874666666667,-86.91077500000002,2024-03-31 00:11:44
207,40.41873333333333,-86.91075833333335,2024-03-31 00:11:45
208,40.41872166666666,-86.91075833333335,2024-03-31 00:11:46
209,40.41871333333333,-86.91075833333335,2024-03-31 00:11:47
210,40.418705,-86.91074166666668,2024-03-31 00:11:48
211,40.418656666666664,-86.91072666666666,2024-03-31 00:11:50
212,40.418645000000005,-86.91071,2024-03-31 00:11:51
213,40.418636666666664,-86.91069333333334,2024-03-31 00:11:52
214,40.41863166666667,-86.91067666666667,2024-03-31 00:11:53
215,40.41860833333333,-86.91066000000001,2024-03-31 00:11:54
216,40.418591666666664,-86.91064499999999,2024-03-31 00:11:55
217,40.418591666666664,-86.91062833333332,2024-03-31 00:11:56
218,40.41858333333332,-86.91061166666665,2024-03-31 00:11:57
219,40.418575000000004,-86.91061166666665,2024-03-31 00:11:58
220,40.418575000000004,-86.910595,2024-03-31 00:11:59
221,40.418575000000004,-86.910595,2024-03-31 00:12:00
222,40.418571666666665,-86.91058,2024-03-31 00:12:01
223,40.418571666666665,-86.91054666666665,2024-03-31 00:12:02
224,40.418575000000004,-86.91052999999998,2024-03-31 00:12:03
225,40.418575000000004,-86.91048166666667,2024-03-31 00:12:05
226,40.418575000000004,-86.91045000000001,2024-03-31 00:12:06
227,40.418575000000004,-86.91043333333334,2024-03-31 00:12:07
228,40.418575000000004,-86.91041666666666,2024-03-31 00:12:08
229,40.418575000000004,-86.9104,2024-03-31 00:12:09
230,40.418575000000004,-86.91036833333334,2024-03-31 00:12:10
231,40.418575000000004,-86.91033499999999,2024-03-31 00:12:11
232,40.41856666666666,-86.91031833333332,2024-03-31 00:12:12
233,40.41856666666666,-86.91030333333333,2024-03-31 00:12:13
